,Unnamed: 0,Unnamed: 0.1,label,title,script,numerics,upper,word_count,num_exclamation_marks,num_question_marks,num_punctuation,avg_word,contro,names,nouns,adjectives,verbs,nouns_vs_words,adjectives_vs_words,verbs_vs_words
27,27,27,fail,How to Be a Gentleman,thinking 50,0,1,8,0,0,2,4.125,0,0,1,0,3,0.125,0.0,0.375
28,28,28,fail,How to Be a Gentleman,decided actually excited new direction,0,1,13,0,0,2,4.769230769230768,0,0,2,2,1,0.15384615384615385,0.15384615384615385,0.07692307692307693
29,29,29,fail,How to Be a Gentleman,cody,0,0,3,0,0,1,3.0,0,0,1,0,1,0.3333333333333333,0.0,0.3333333333333333
30,30,30,fail,How to Be a Gentleman,cody,0,0,3,0,1,0,3.333333333333333,0,1,1,0,1,0.3333333333333333,0.0,0.3333333333333333
31,31,31,fail,How to Be a Gentleman,cody new boss,0,0,5,0,0,1,3.2,0,0,2,1,1,0.4,0.2,0.2
32,32,32,fail,How to Be a Gentleman,way age son,0,0,11,0,0,3,3.0,0,0,3,1,1,0.2727272727272727,0.09090909090909093,0.09090909090909093
33,33,33,fail,How to Be a Gentleman,churn mindless drivel lowest common denominator,0,0,9,0,1,0,5.777777777777778,0,0,3,3,0,0.3333333333333333,0.3333333333333333,0.0
34,34,34,fail,How to Be a Gentleman,thatd great,0,0,3,0,0,1,4.666666666666667,0,0,0,1,1,0.0,0.3333333333333333,0.3333333333333333
35,35,35,fail,How to Be a Gentleman,catching much faster thought would,0,1,12,0,0,1,4.416666666666667,0,0,1,1,2,0.08333333333333333,0.08333333333333333,0.16666666666666666
36,36,36,fail,How to Be a Gentleman,gentleman tame,0,0,10,0,0,1,3.7,0,0,1,1,2,0.1,0.1,0.2
37,37,37,fail,How to Be a Gentleman,cody would sexier angle,0,0,7,0,0,2,4.142857142857143,0,1,2,1,1,0.2857142857142857,0.14285714285714285,0.14285714285714285
38,38,38,fail,How to Be a Gentleman,cant believe,0,1,4,0,0,1,4.5,0,0,0,0,2,0.0,0.0,0.5
39,39,39,fail,How to Be a Gentleman,feel whole world falling apart,0,1,9,0,0,1,4.0,0,0,1,1,3,0.1111111111111111,0.1111111111111111,0.3333333333333333
40,40,40,fail,How to Be a Gentleman,thats cause,0,0,5,0,0,2,3.8,0,0,1,0,2,0.2,0.0,0.4
41,41,41,fail,How to Be a Gentleman,happy birthday honey,0,0,3,0,0,2,6.666666666666668,0,0,2,1,0,0.6666666666666666,0.3333333333333333,0.0
42,42,42,fail,How to Be a Gentleman,isnt great spending birthday family,0,0,10,0,1,2,5.1,0,0,3,1,1,0.3,0.1,0.1
43,43,43,fail,How to Be a Gentleman,yes mom perfect,0,0,5,0,0,3,4.0,0,1,1,1,1,0.2,0.2,0.2
44,44,44,fail,How to Be a Gentleman,perfect situation wear vest hmm,0,0,7,0,1,1,4.571428571428571,0,0,3,1,1,0.42857142857142855,0.14285714285714285,0.14285714285714285
45,45,45,fail,How to Be a Gentleman,ah read column andrew,0,1,6,0,0,2,4.166666666666667,0,1,3,0,1,0.5,0.0,0.16666666666666666
46,46,46,fail,How to Be a Gentleman,wanted wear vest wife poohpoohed idea,0,1,12,0,0,2,3.9166666666666665,0,0,3,0,3,0.25,0.0,0.25
47,47,47,fail,How to Be a Gentleman,sorry,0,0,2,0,0,1,4.5,0,0,2,0,0,1.0,0.0,0.0
48,48,48,fail,How to Be a Gentleman,still want attracted,0,1,8,0,0,1,3.625,0,0,0,0,3,0.0,0.0,0.375
49,49,49,fail,How to Be a Gentleman,call crazy,0,0,3,0,0,1,4.0,0,0,0,1,1,0.0,0.3333333333333333,0.3333333333333333
50,50,50,fail,How to Be a Gentleman,really want brother,0,0,8,0,1,0,3.875,0,0,1,0,2,0.125,0.0,0.25
51,51,51,fail,How to Be a Gentleman,look,0,0,3,0,0,1,3.333333333333333,0,0,0,0,1,0.0,0.0,0.3333333333333333
52,52,52,fail,How to Be a Gentleman,hes spending birthday us friends,0,0,11,0,0,1,4.636363636363637,0,0,3,0,2,0.2727272727272727,0.0,0.18181818181818185
53,53,53,fail,How to Be a Gentleman,ill friend andrew,0,0,5,0,0,2,4.8,0,1,3,0,1,0.6,0.0,0.2
54,54,54,fail,How to Be a Gentleman,could vest friends,0,0,5,0,0,1,4.4,0,0,1,1,1,0.2,0.2,0.2
55,55,55,fail,How to Be a Gentleman,honey,0,0,6,0,0,2,4.333333333333333,1,1,2,0,1,0.3333333333333333,0.0,0.16666666666666666
56,56,56,fail,How to Be a Gentleman,whats,0,0,2,0,1,0,5.5,0,0,1,0,0,0.5,0.0,0.0
57,57,57,fail,How to Be a Gentleman,talking,0,0,1,0,0,1,8.0,0,0,0,0,1,0.0,0.0,1.0
58,58,58,fail,How to Be a Gentleman,love hearing say words mike,0,1,8,0,0,3,4.0,0,1,2,0,3,0.25,0.0,0.375
59,59,59,fail,How to Be a Gentleman,remember time said chimichanga,0,0,7,0,1,1,5.285714285714286,0,0,2,0,2,0.2857142857142857,0.0,0.2857142857142857
60,60,60,fail,How to Be a Gentleman,laughed,0,0,2,1,0,0,5.0,0,0,0,0,1,0.0,0.0,0.5
61,61,61,fail,How to Be a Gentleman,look love fussy talk weird dress ship captain,0,1,17,0,0,4,4.0588235294117645,0,0,3,1,5,0.17647058823529413,0.05882352941176471,0.29411764705882354
62,62,62,fail,How to Be a Gentleman,,0,0,1,0,0,1,3.0,0,0,0,0,0,0.0,0.0,0.0
63,63,63,fail,How to Be a Gentleman,birthday present,0,0,7,0,1,0,4.428571428571429,0,0,2,0,1,0.2857142857142857,0.0,0.14285714285714285
64,64,64,fail,How to Be a Gentleman,cause gave huge basket bitchiness last year,0,0,12,0,0,2,4.25,0,0,4,2,1,0.3333333333333333,0.16666666666666666,0.08333333333333333
65,65,65,fail,How to Be a Gentleman,well looking always,0,1,11,0,0,3,4.090909090909091,0,0,2,0,3,0.18181818181818185,0.0,0.2727272727272727
66,66,66,fail,How to Be a Gentleman,third grade walked homeroom first day school said beat little brother,0,1,28,0,0,3,3.928571428571429,0,0,6,3,4,0.21428571428571427,0.10714285714285714,0.14285714285714285
67,67,67,fail,How to Be a Gentleman,hes weak peripheral vision,0,0,8,0,0,1,4.625,0,0,2,2,1,0.25,0.25,0.125
68,68,68,fail,How to Be a Gentleman,gets,0,0,6,0,0,1,3.0,1,0,0,0,1,0.0,0.0,0.16666666666666666
69,69,69,fail,How to Be a Gentleman,literally cant see,0,1,5,0,0,1,4.6,0,0,0,0,2,0.0,0.0,0.4
70,70,70,fail,How to Be a Gentleman,see,0,0,2,0,1,0,4.0,0,0,0,0,1,0.0,0.0,0.5
71,71,71,fail,How to Be a Gentleman,,0,1,2,0,0,1,2.5,0,0,0,0,0,0.0,0.0,0.0
72,72,72,fail,How to Be a Gentleman,nothing,0,0,2,0,0,1,5.5,0,0,1,0,0,0.5,0.0,0.0
73,73,73,fail,How to Be a Gentleman,look doofus smart good kind world doesnt cant see past brass buttons,0,0,23,0,0,4,4.608695652173913,0,0,7,3,3,0.3043478260869565,0.13043478260869565,0.13043478260869565
74,74,74,fail,How to Be a Gentleman,uncle brass eyeball,0,0,6,0,0,1,4.0,0,0,3,0,1,0.5,0.0,0.16666666666666666
75,75,75,fail,How to Be a Gentleman,kept patch legit,0,0,12,0,0,3,3.5,0,0,2,0,1,0.16666666666666666,0.0,0.08333333333333333
76,76,76,fail,How to Be a Gentleman,peekaboo quite traumatic,0,0,4,0,0,1,7.0,0,0,1,1,1,0.25,0.25,0.25
77,77,77,fail,How to Be a Gentleman,ah,0,0,1,1,0,0,3.0,0,0,1,0,0,1.0,0.0,0.0
78,78,78,fail,How to Be a Gentleman,,0,0,3,0,1,0,3.0,0,0,0,0,1,0.0,0.0,0.3333333333333333
79,79,79,fail,How to Be a Gentleman,dude drive people away,0,0,5,0,0,2,4.8,0,0,2,0,1,0.4,0.0,0.2
80,80,80,fail,How to Be a Gentleman,thats lauren dumped,0,0,5,0,0,1,5.0,0,1,2,0,1,0.4,0.0,0.2
81,81,81,fail,How to Be a Gentleman,lauren dump,0,0,5,0,0,1,3.8,0,1,1,0,2,0.2,0.0,0.4
82,82,82,fail,How to Be a Gentleman,released request,0,1,6,0,0,1,4.166666666666667,0,0,1,0,1,0.16666666666666666,0.0,0.16666666666666666
83,83,83,fail,How to Be a Gentleman,loss gain andrew,0,0,5,0,0,3,4.6,0,1,3,0,0,0.6,0.0,0.0
84,84,84,fail,How to Be a Gentleman,plus sure theres nice girl would love date lonely ship captain,0,0,18,0,0,2,4.111111111111111,0,0,5,3,2,0.2777777777777778,0.16666666666666666,0.1111111111111111
85,85,85,fail,How to Be a Gentleman,think time birthday presents,0,1,7,0,0,1,4.857142857142857,0,0,3,0,1,0.42857142857142855,0.0,0.14285714285714285
86,86,86,fail,How to Be a Gentleman,birthday presents,0,0,3,0,0,2,7.333333333333332,0,0,2,0,0,0.6666666666666666,0.0,0.0
87,87,87,fail,How to Be a Gentleman,thank,0,0,2,0,0,1,4.5,0,0,1,0,0,0.5,0.0,0.0
88,88,88,fail,How to Be a Gentleman,mike,0,0,6,0,0,1,3.333333333333333,0,1,0,0,2,0.0,0.0,0.3333333333333333
89,89,89,fail,How to Be a Gentleman,gift certificate training session gym,0,0,11,0,0,1,4.181818181818182,0,0,5,0,0,0.4545454545454545,0.0,0.0
90,90,90,fail,How to Be a Gentleman,well fun,0,0,4,0,0,2,4.0,0,0,1,0,1,0.25,0.0,0.25
91,91,91,fail,How to Be a Gentleman,gentleman always uses gift even doesnt musty place go redeem,0,1,23,0,0,2,3.565217391304348,0,0,3,1,5,0.13043478260869565,0.043478260869565216,0.21739130434782608
92,92,92,fail,How to Be a Gentleman,hi,0,0,1,0,0,1,3.0,0,0,1,0,0,1.0,0.0,0.0
93,93,93,fail,How to Be a Gentleman,gift certificate training session excuse andrew carlson,0,1,13,0,1,0,4.9230769230769225,0,2,6,0,1,0.4615384615384616,0.0,0.07692307692307693
94,94,94,fail,How to Be a Gentleman,,0,0,1,0,0,1,5.0,0,0,1,0,0,1.0,0.0,0.0
95,95,95,fail,How to Be a Gentleman,dead arm,0,0,2,1,0,0,4.0,0,0,1,1,0,0.5,0.5,0.0
96,96,96,fail,How to Be a Gentleman,bert lansing high school,0,0,5,1,0,0,5.2,0,1,4,1,0,0.8,0.2,0.0
97,97,97,fail,How to Be a Gentleman,huh,0,0,1,0,1,0,4.0,0,0,1,0,0,1.0,0.0,0.0
98,98,98,fail,How to Be a Gentleman,buddies used dead arm time,0,0,12,0,0,1,3.4166666666666665,1,0,4,0,2,0.3333333333333333,0.0,0.16666666666666666
99,99,99,fail,How to Be a Gentleman,remember,0,0,4,0,1,0,4.75,0,0,0,0,2,0.0,0.0,0.5
100,100,100,fail,How to Be a Gentleman,remember getting hit remember,0,2,10,0,0,2,4.4,0,0,1,0,4,0.1,0.0,0.4
101,101,101,fail,How to Be a Gentleman,,0,0,1,0,1,0,5.0,0,0,1,0,0,1.0,0.0,0.0
102,102,102,fail,How to Be a Gentleman,thats great bro,0,0,3,0,0,2,5.333333333333333,0,0,2,1,0,0.6666666666666666,0.3333333333333333,0.0
103,103,103,fail,How to Be a Gentleman,makes want dead arm,0,0,9,0,0,1,3.6666666666666665,1,0,1,0,3,0.1111111111111111,0.0,0.3333333333333333
104,104,104,fail,How to Be a Gentleman,state wrestling champ,0,1,5,0,1,0,4.8,0,0,3,0,1,0.6,0.0,0.2
105,105,105,fail,How to Be a Gentleman,uh got expelled senior year,0,1,7,0,1,0,3.8571428571428568,0,0,2,2,1,0.2857142857142857,0.2857142857142857,0.14285714285714285
106,106,106,fail,How to Be a Gentleman,credit card fraud,0,0,4,0,1,0,4.75,0,0,3,0,0,0.75,0.0,0.0
107,107,107,fail,How to Be a Gentleman,thats one,0,0,3,0,0,1,4.333333333333333,0,0,1,0,1,0.3333333333333333,0.0,0.3333333333333333
108,108,108,fail,How to Be a Gentleman,never proven way,0,0,7,0,0,2,4.0,0,0,1,0,2,0.14285714285714285,0.0,0.2857142857142857
109,109,109,fail,How to Be a Gentleman,nice seeing bert,0,0,5,0,0,2,4.8,0,1,1,0,2,0.2,0.0,0.4
110,110,110,fail,How to Be a Gentleman,id shake hand cant quite lift arm,0,1,11,0,0,2,3.727272727272727,0,0,3,1,2,0.2727272727272727,0.09090909090909093,0.18181818181818185
111,111,111,fail,How to Be a Gentleman,sure thats dead armt work,0,0,6,0,0,2,4.5,1,0,2,2,1,0.3333333333333333,0.3333333333333333,0.16666666666666666
112,112,112,fail,How to Be a Gentleman,man couldnt stand high school,0,1,8,0,0,2,4.25,0,0,2,1,2,0.25,0.125,0.25
113,113,113,fail,How to Be a Gentleman,worst,0,0,4,0,0,1,4.0,0,0,0,1,1,0.0,0.25,0.25
114,114,114,fail,How to Be a Gentleman,sorry,0,0,2,0,1,0,4.5,0,0,2,0,0,1.0,0.0,0.0
115,115,115,fail,How to Be a Gentleman,always complaining dress code wasnt strict enough,0,0,9,0,0,1,5.777777777777778,0,0,3,1,1,0.3333333333333333,0.1111111111111111,0.1111111111111111
116,116,116,fail,How to Be a Gentleman,tried rid jeans dude,0,0,8,0,0,2,3.625,0,0,1,1,3,0.125,0.125,0.375
117,117,117,fail,How to Be a Gentleman,wouldve killed,0,0,4,0,0,1,5.25,1,0,1,0,1,0.25,0.0,0.25
118,118,118,fail,How to Be a Gentleman,two pairs pants back,0,1,9,0,0,1,3.555555555555556,0,0,2,0,1,0.2222222222222222,0.0,0.1111111111111111
119,119,119,fail,How to Be a Gentleman,jeans church jeans,0,0,6,0,0,1,4.0,1,0,3,0,0,0.5,0.0,0.0
120,120,120,fail,How to Be a Gentleman,well good seeing bert,0,0,8,0,0,3,4.25,0,1,1,1,2,0.125,0.125,0.25
121,121,121,fail,How to Be a Gentleman,private training session probably go find trainer,0,2,14,0,0,2,4.428571428571429,0,0,3,1,3,0.21428571428571427,0.07142857142857142,0.21428571428571427
122,122,122,fail,How to Be a Gentleman,look friend,0,0,5,0,0,2,4.6,0,0,1,1,1,0.2,0.2,0.2
123,123,123,fail,How to Be a Gentleman,gym,0,0,4,0,0,1,3.0,0,0,1,0,1,0.25,0.0,0.25
124,124,124,fail,How to Be a Gentleman,berts body shop,0,0,3,0,0,1,5.0,0,1,3,0,0,1.0,0.0,0.0
125,125,125,fail,How to Be a Gentleman,took place old man got sick,0,1,13,0,0,1,3.3076923076923075,0,0,2,2,2,0.15384615384615385,0.15384615384615385,0.15384615384615385
126,126,126,fail,How to Be a Gentleman,cancer penis,0,0,4,0,0,1,4.25,0,0,2,0,0,0.5,0.0,0.0
127,127,127,fail,How to Be a Gentleman,god,0,0,3,0,0,2,3.0,0,0,1,0,0,0.3333333333333333,0.0,0.0
128,128,128,fail,How to Be a Gentleman,sorry,0,0,3,0,0,1,3.6666666666666665,0,0,1,1,0,0.3333333333333333,0.3333333333333333,0.0
129,129,129,fail,How to Be a Gentleman,thats messing dude,0,0,6,0,0,2,4.833333333333333,0,0,2,0,2,0.3333333333333333,0.0,0.3333333333333333
130,130,130,fail,How to Be a Gentleman,penis fine,0,0,4,0,0,1,3.75,1,0,1,1,1,0.25,0.25,0.25
131,131,131,fail,How to Be a Gentleman,hes retired still volunteers seven days week pain ass,0,0,16,0,0,2,4.0,0,0,5,0,3,0.3125,0.0,0.1875
132,132,132,fail,How to Be a Gentleman,lets grab credit card info signed membership pronto,0,0,19,0,0,2,4.105263157894736,0,0,6,1,3,0.3157894736842105,0.05263157894736842,0.15789473684210525
133,133,133,fail,How to Be a Gentleman,sooner sooner adult male body,0,0,15,0,0,2,3.6,1,0,4,1,2,0.26666666666666666,0.06666666666666668,0.13333333333333333
134,134,134,fail,How to Be a Gentleman,much enjoying odors gonna go bert,0,0,14,0,0,3,3.928571428571429,0,1,5,1,2,0.35714285714285715,0.07142857142857142,0.14285714285714285
135,135,135,fail,How to Be a Gentleman,goodbye,0,0,2,0,0,2,6.0,0,0,0,1,0,0.0,0.5,0.0
136,136,136,fail,How to Be a Gentleman,waitwaitwaitwait waitwait,0,0,2,0,0,1,15.0,0,0,2,0,0,1.0,0.0,0.0
137,137,137,fail,How to Be a Gentleman,looks regular gym way,0,1,15,0,0,2,3.8,0,0,2,2,2,0.13333333333333333,0.13333333333333333,0.13333333333333333
138,138,138,fail,How to Be a Gentleman,see got whole philosophy bro,0,1,7,0,0,3,4.142857142857143,0,0,2,1,2,0.2857142857142857,0.14285714285714285,0.2857142857142857
139,139,139,fail,How to Be a Gentleman,whole asian thing mind body spirit,0,0,11,0,0,2,4.181818181818182,0,0,5,2,0,0.4545454545454545,0.18181818181818185,0.0
140,140,140,fail,How to Be a Gentleman,also tanning,0,0,2,0,0,1,6.0,0,0,0,0,1,0.0,0.0,0.5
141,141,141,fail,How to Be a Gentleman,trainer ended creep high school beat time,0,0,18,0,0,1,3.9444444444444446,0,0,4,1,3,0.2222222222222222,0.05555555555555555,0.16666666666666666
142,142,142,fail,How to Be a Gentleman,,0,0,1,0,1,0,4.0,0,0,0,0,0,0.0,0.0,0.0
143,143,143,fail,How to Be a Gentleman,johnny,0,0,1,0,1,0,7.0,0,1,1,0,0,1.0,0.0,0.0
144,144,144,fail,How to Be a Gentleman,,0,0,1,0,0,1,3.0,0,0,0,0,0,0.0,0.0,0.0
145,145,145,fail,How to Be a Gentleman,steven,0,0,1,0,1,0,7.0,0,0,0,0,0,0.0,0.0,0.0
146,146,146,fail,How to Be a Gentleman,,0,0,1,0,0,1,3.0,0,0,0,0,0,0.0,0.0,0.0
147,147,147,fail,How to Be a Gentleman,asian steven,0,0,2,0,1,0,6.0,0,1,1,1,0,0.5,0.5,0.0
148,148,148,fail,How to Be a Gentleman,bird andrew,0,0,5,0,1,1,3.4,0,1,2,0,1,0.4,0.0,0.2
149,149,149,fail,How to Be a Gentleman,plane,0,0,4,0,1,0,2.75,0,0,1,0,1,0.25,0.0,0.25
150,150,150,fail,How to Be a Gentleman,superman,0,0,3,1,0,1,5.333333333333333,0,1,1,0,0,0.3333333333333333,0.0,0.0
151,151,151,fail,How to Be a Gentleman,mike,0,0,3,0,0,2,4.0,0,1,1,0,1,0.3333333333333333,0.0,0.3333333333333333
152,152,152,fail,How to Be a Gentleman,well better go,0,1,4,0,0,2,3.75,0,0,0,1,1,0.0,0.25,0.25
153,153,153,fail,How to Be a Gentleman,bit gusty today,0,0,3,0,0,1,4.666666666666667,0,0,2,1,0,0.6666666666666666,0.3333333333333333,0.0
154,154,154,fail,How to Be a Gentleman,waah,0,0,1,1,0,0,5.0,0,0,1,0,0,1.0,0.0,0.0
155,155,155,fail,How to Be a Gentleman,bye,0,0,2,0,0,1,2.5,0,0,1,0,0,0.5,0.0,0.0
156,156,156,fail,How to Be a Gentleman,bye,0,0,2,0,0,1,2.5,0,0,1,0,0,0.5,0.0,0.0
157,157,157,fail,How to Be a Gentleman,hes super desperate attention going craig work tonight,0,0,14,0,0,1,5.214285714285714,0,1,7,1,1,0.5,0.07142857142857142,0.07142857142857142
158,158,158,fail,How to Be a Gentleman,janet come,0,0,4,0,0,3,4.0,0,1,1,0,1,0.25,0.0,0.25
159,159,159,fail,How to Be a Gentleman,gotta stop spending time craig guy,0,0,9,0,0,1,4.5555555555555545,0,0,4,0,2,0.4444444444444444,0.0,0.2222222222222222
160,160,160,fail,How to Be a Gentleman,two friends together gossip coworkers,0,0,14,0,0,1,4.857142857142857,0,0,2,0,3,0.14285714285714285,0.0,0.21428571428571427
161,161,161,fail,How to Be a Gentleman,janet,0,0,1,0,1,0,6.0,0,1,1,0,0,1.0,0.0,0.0
162,162,162,fail,How to Be a Gentleman,janet,0,0,1,0,1,0,6.0,0,1,1,0,0,1.0,0.0,0.0
163,163,163,fail,How to Be a Gentleman,didnt escalator installed,0,1,8,0,0,1,4.625,0,0,1,0,4,0.125,0.0,0.5
164,164,164,fail,How to Be a Gentleman,going,0,0,2,0,0,1,5.0,0,0,0,0,1,0.0,0.0,0.5
165,165,165,fail,How to Be a Gentleman,would superman need escalator,0,0,6,0,1,0,5.333333333333333,0,0,1,0,2,0.16666666666666666,0.0,0.3333333333333333
166,166,166,fail,How to Be a Gentleman,gotta go,0,1,3,0,0,1,3.0,0,0,0,0,2,0.0,0.0,0.6666666666666666
167,167,167,fail,How to Be a Gentleman,,0,0,1,0,0,1,5.0,0,0,1,0,0,1.0,0.0,0.0
168,168,168,fail,How to Be a Gentleman,love,0,0,2,0,0,1,4.0,0,0,1,0,0,0.5,0.0,0.0
169,169,169,fail,How to Be a Gentleman,bye,0,0,1,0,0,1,4.0,0,0,1,0,0,1.0,0.0,0.0
170,170,170,fail,How to Be a Gentleman,andrew,0,0,1,0,0,1,7.0,0,0,1,0,0,1.0,0.0,0.0
171,171,171,fail,How to Be a Gentleman,hey jerry,0,0,2,1,0,1,5.0,0,1,2,0,0,1.0,0.0,0.0
172,172,172,fail,How to Be a Gentleman,codys breathing neck column,0,0,9,0,0,1,5.0,0,0,3,0,2,0.3333333333333333,0.0,0.2222222222222222
173,173,173,fail,How to Be a Gentleman,gotta give something,0,1,5,0,0,1,4.6,0,0,1,0,2,0.2,0.0,0.4
174,174,174,fail,How to Be a Gentleman,pitch sexy new direction,0,0,7,0,0,1,4.285714285714286,1,0,1,2,1,0.14285714285714285,0.2857142857142857,0.14285714285714285
175,175,175,fail,How to Be a Gentleman,,0,0,1,0,0,1,3.0,0,0,0,0,0,0.0,0.0,0.0
176,176,176,fail,How to Be a Gentleman,change column,0,1,8,0,1,1,4.0,0,0,2,0,1,0.25,0.0,0.125
177,177,177,fail,How to Be a Gentleman,goes principles,0,0,5,0,0,1,5.2,0,0,1,0,1,0.2,0.0,0.2
178,178,178,fail,How to Be a Gentleman,ive got put foot,0,0,7,0,0,1,3.2857142857142856,0,0,2,0,2,0.2857142857142857,0.0,0.2857142857142857
179,179,179,fail,How to Be a Gentleman,ill fire,0,0,6,0,0,1,3.6666666666666665,1,0,1,0,2,0.16666666666666666,0.0,0.3333333333333333
180,180,180,fail,How to Be a Gentleman,time due,0,0,5,0,1,0,3.2,0,0,1,1,1,0.2,0.2,0.2
181,181,181,fail,How to Be a Gentleman,go,0,0,3,0,0,1,3.6666666666666665,0,0,0,0,1,0.0,0.0,0.3333333333333333
182,182,182,fail,How to Be a Gentleman,remember going demographic holy grail men midtolate 30s act theyre 15,0,0,18,0,0,3,5.166666666666667,0,2,6,1,3,0.3333333333333333,0.05555555555555555,0.16666666666666666
183,183,183,fail,How to Be a Gentleman,anyone never mind,0,1,9,0,0,2,4.222222222222221,0,1,2,0,3,0.2222222222222222,0.0,0.3333333333333333
184,184,184,fail,How to Be a Gentleman,great man,0,0,4,1,0,1,4.0,0,0,1,1,1,0.25,0.25,0.25
185,185,185,fail,How to Be a Gentleman,getting together reconnecting adults,0,0,5,0,0,2,7.8,0,0,1,0,2,0.2,0.0,0.4
186,186,186,fail,How to Be a Gentleman,thinking restaurant strip club,0,1,11,0,0,2,4.0,0,0,3,1,2,0.2727272727272727,0.09090909090909093,0.18181818181818185
187,187,187,fail,How to Be a Gentleman,,0,0,3,0,1,0,3.333333333333333,0,0,0,0,1,0.0,0.0,0.3333333333333333
188,188,188,fail,How to Be a Gentleman,since high school,0,0,10,0,1,1,3.8,0,0,1,1,2,0.1,0.1,0.2
189,189,189,fail,How to Be a Gentleman,senior year disappeared,0,0,6,0,0,2,5.833333333333332,0,0,1,1,1,0.16666666666666666,0.16666666666666666,0.16666666666666666
190,190,190,fail,How to Be a Gentleman,whered go,0,0,3,0,1,0,4.333333333333333,0,0,1,0,1,0.3333333333333333,0.0,0.3333333333333333
